iter,best,mean,std,range
0,5528.865664,7272.381312,901.2021173,3038.760972
1,5220.372141,6041.897751,584.9366596,2061.793119
2,5052.488202,5677.435134,585.7808056,2540.605941
3,5090.12741,5667.620596,698.9957075,3035.7309
4,5117.890033,5618.498077,368.0785283,1186.348878
5,4950.964087,5497.091436,613.4360537,2382.857688
6,4976.711494,5547.847637,627.7726261,2233.986547
7,4983.324543,5270.301647,246.9008102,868.0423022
8,4972.021281,5239.682182,183.6844254,621.5518516
9,4933.061307,5734.995564,1045.61972,3034.6599
10,4949.0324,5701.173334,839.18792,2663.776908
11,4931.865155,5591.985102,957.7926712,3408.831927
12,4939.130246,5423.595291,284.1772879,981.5499441
13,4947.934318,5238.692764,283.1722536,928.7013075
14,4943.338197,5468.521531,1012.120776,4354.794359
15,4930.134577,5113.299112,171.7700553,690.1551166
16,4934.885783,5061.736584,125.7363626,453.8719978
17,4928.124008,5041.784223,86.49193728,307.4047556
18,4928.090517,5015.064198,93.84788166,364.5934588
19,4929.101986,4986.580212,59.64320221,254.6495392
20,4923.216606,4962.950129,18.63903881,71.70882356
21,4925.413764,4965.506278,28.43564856,95.66775927
22,4921.254425,4945.075469,17.55086401,63.56662252
23,4922.345208,4942.268398,19.44671151,77.29678665
24,4920.266503,4933.818931,11.87257418,37.11213959
25,4921.319803,4929.810305,8.443024338,28.71125494
26,4921.444304,4926.803713,5.311239672,21.01922017
27,4920.437232,4925.062017,2.854752566,8.994513828
28,4921.129625,4924.419762,3.111418675,12.14267066
29,4920.312501,4922.066015,1.283563025,4.378042974
30,4920.799634,4922.720873,1.356690563,4.774397712
31,4920.347333,4922.125864,1.169391394,4.305143192
32,4920.213064,4921.516262,0.9686304276,3.615609215
